# file...... distribution_load.csv
# date...... Wed Jul 26 23:24:26 2017
# user...... hieutn
# host...... (null)
# target.... substation 52
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,distribution_load,positive_sequence_voltage
2004-07-01 11:20:00 CDT,+325129-149709j,+2401+0i
2004-07-01 11:25:00 CDT,+350128-143032j,+2401+0i
2004-07-01 11:30:00 CDT,+363931-139246j,+2401+0i
2004-07-01 11:35:00 CDT,+336910-146627j,+2401+0i
2004-07-01 11:40:00 CDT,+320435-151142j,+2401+0i
2004-07-01 11:45:00 CDT,+340318-145748j,+2401+0i
2004-07-01 11:50:00 CDT,+367327-138369j,+2401+0i
2004-07-01 11:55:00 CDT,+344694-144412j,+2401+0i
2004-07-01 12:00:00 CDT,+334493-164216j,+2401+0i
2004-07-01 12:05:00 CDT,+360697-157100j,+2401+0i
2004-07-01 12:10:00 CDT,+382958-150735j,+2401+0i
2004-07-01 12:15:00 CDT,+393603-147838j,+2401+0i
2004-07-01 12:20:00 CDT,+410657-143450j,+2401+0i
2004-07-01 12:25:00 CDT,+391841-148670j,+2401+0i
2004-07-01 12:30:00 CDT,+357588-157875j,+2401+0i
2004-07-01 12:35:00 CDT,+355872-158188j,+2401+0i
2004-07-01 12:40:00 CDT,+355841-158442j,+2401+0i
2004-07-01 12:45:00 CDT,+373268-153691j,+2401+0i
2004-07-01 12:50:00 CDT,+382367-151048j,+2401+0i
2004-07-01 12:55:00 CDT,+356644-158020j,+2401+0i
2004-07-01 13:00:00 CDT,+374753-105346j,+2401+0i
2004-07-01 13:05:00 CDT,+376714-104664j,+2401+0i
2004-07-01 13:10:00 CDT,+409940-95569.3j,+2401+0i
2004-07-01 13:15:00 CDT,+385124-102591j,+2401+0i
2004-07-01 13:20:00 CDT,+372985-105812j,+2401+0i
2004-07-01 13:25:00 CDT,+363876-108335j,+2401+0i
2004-07-01 13:30:00 CDT,+354277-110981j,+2401+0i
2004-07-01 13:35:00 CDT,+378767-104384j,+2401+0i
2004-07-01 13:40:00 CDT,+416608-93966.7j,+2401+0i
2004-07-01 13:45:00 CDT,+421177-92675.8j,+2401+0i
2004-07-01 13:50:00 CDT,+385906-102426j,+2401+0i
2004-07-01 13:55:00 CDT,+358840-109609j,+2401+0i
2004-07-01 14:00:00 CDT,+375305-96042.2j,+2401+0i
2004-07-01 14:05:00 CDT,+406949-87491.3j,+2401+0i
2004-07-01 14:10:00 CDT,+407072-87433.6j,+2401+0i
2004-07-01 14:15:00 CDT,+363718-99143.1j,+2401+0i
2004-07-01 14:20:00 CDT,+370885-97311.6j,+2401+0i
2004-07-01 14:25:00 CDT,+451217-75241.8j,+2401+0i
2004-07-01 14:30:00 CDT,+422967-83029.5j,+2401+0i
2004-07-01 14:35:00 CDT,+409025-86941.2j,+2401+0i
2004-07-01 14:40:00 CDT,+390660-91933.9j,+2401+0i
2004-07-01 14:45:00 CDT,+417271-84660.8j,+2401+0i
2004-07-01 14:50:00 CDT,+426892-82070j,+2401+0i
2004-07-01 14:55:00 CDT,+416409-84838.4j,+2401+0i
2004-07-01 15:00:00 CDT,+405215-126506j,+2401+0i
2004-07-01 15:05:00 CDT,+387669-131341j,+2401+0i
2004-07-01 15:10:00 CDT,+400072-127980j,+2401+0i
2004-07-01 15:15:00 CDT,+421344-122142j,+2401+0i
2004-07-01 15:20:00 CDT,+419553-122533j,+2401+0i
2004-07-01 15:25:00 CDT,+386970-131512j,+2401+0i
2004-07-01 15:30:00 CDT,+398043-128378j,+2401+0i
2004-07-01 15:35:00 CDT,+410186-125041j,+2401+0i
2004-07-01 15:40:00 CDT,+435578-118264j,+2401+0i
2004-07-01 15:45:00 CDT,+452924-113468j,+2401+0i
