#time	topic  value
38760000000000   clear_price   0
38820000000000   clear_price   0
38880000000000   clear_price   0
38940000000000   clear_price   0
39000000000000   clear_price   0
39060000000000   clear_price   0
39120000000000   clear_price   0
39180000000000   clear_price   0
39240000000000   clear_price   0
39300000000000   clear_price   0
39360000000000   clear_price   0
39420000000000   clear_price   0
39480000000000   clear_price   0
39540000000000   clear_price   0
39600000000000   clear_price   0
39660000000000   clear_price   0
39720000000000   clear_price   0
39780000000000   clear_price   0
39840000000000   clear_price   0
39900000000000   clear_price   0
39960000000000   clear_price   0
40020000000000   clear_price   0
40080000000000   clear_price   0
40140000000000   clear_price   0
40200000000000   clear_price   0
40260000000000   clear_price   0
40320000000000   clear_price   0
40380000000000   clear_price   0
40440000000000   clear_price   0
40500000000000   clear_price   0
40560000000000   clear_price   0
40620000000000   clear_price   0
40680000000000   clear_price   0
40740000000000   clear_price   0
40800000000000   clear_price   0
40860000000000   clear_price   0
40920000000000   clear_price   0
40980000000000   clear_price   0
41040000000000   clear_price   0
41100000000000   clear_price   0
41160000000000   clear_price   0
41220000000000   clear_price   0
41280000000000   clear_price   0
41340000000000   clear_price   0
41400000000000   clear_price   0
41460000000000   clear_price   0
41520000000000   clear_price   0
41580000000000   clear_price   0
41640000000000   clear_price   0
41700000000000   clear_price   0
41760000000000   clear_price   0
41820000000000   clear_price   0
41880000000000   clear_price   0
41940000000000   clear_price   0
42000000000000   clear_price   0
42060000000000   clear_price   0
42120000000000   clear_price   0
42180000000000   clear_price   0
42240000000000   clear_price   0
42300000000000   clear_price   0
42360000000000   clear_price   0
42420000000000   clear_price   0
42480000000000   clear_price   0
42540000000000   clear_price   0
42600000000000   clear_price   0
42660000000000   clear_price   0
42720000000000   clear_price   0
42780000000000   clear_price   0
42840000000000   clear_price   0
42900000000000   clear_price   0
42960000000000   clear_price   0
43020000000000   clear_price   0
43080000000000   clear_price   0
43140000000000   clear_price   0
43200000000000   clear_price   0
43260000000000   clear_price   0
43320000000000   clear_price   0
43380000000000   clear_price   0
43440000000000   clear_price   0
43500000000000   clear_price   0
43560000000000   clear_price   0
43620000000000   clear_price   0
43680000000000   clear_price   0
43740000000000   clear_price   0
43800000000000   clear_price   0
43860000000000   clear_price   0
43920000000000   clear_price   0
43980000000000   clear_price   0
44040000000000   clear_price   0
44100000000000   clear_price   0
44160000000000   clear_price   0
44220000000000   clear_price   0
44280000000000   clear_price   0
44340000000000   clear_price   0
44400000000000   clear_price   0
44460000000000   clear_price   0
44520000000000   clear_price   0
44580000000000   clear_price   0
44640000000000   clear_price   0
44700000000000   clear_price   0
