#nanoseconds	topic	value
0	eplus_control/controller_house_11_11_thermostat_controller_cooling_setpoint	74.37679582458074
0	eplus_control/controller_house_11_12_thermostat_controller_cooling_setpoint	75.56383478930172
0	eplus_control/controller_house_12_1_thermostat_controller_cooling_setpoint	75.46615441711299
0	eplus_control/controller_house_12_2_thermostat_controller_cooling_setpoint	75.37345725806635
0	eplus_control/controller_house_12_3_thermostat_controller_cooling_setpoint	75.30378946263339
0	eplus_control/controller_house_12_4_thermostat_controller_cooling_setpoint	74.9407383861205
0	eplus_control/controller_house_12_5_thermostat_controller_cooling_setpoint	74.6377206031879
0	eplus_control/controller_house_12_6_thermostat_controller_cooling_setpoint	75.00791136608544
0	eplus_control/controller_house_12_7_thermostat_controller_cooling_setpoint	74.01806763357915
0	eplus_control/controller_house_12_8_thermostat_controller_cooling_setpoint	75.23916832931113
0	eplus_control/controller_house_12_9_thermostat_controller_cooling_setpoint	74.25943126968903
0	eplus_control/controller_house_12_10_thermostat_controller_cooling_setpoint	75.1939251321427
0	eplus_control/controller_house_12_11_thermostat_controller_cooling_setpoint	74.55948809219258
0	eplus_control/controller_house_12_12_thermostat_controller_cooling_setpoint	74.2510649293129
0	eplus_control/controller_house_13_1_thermostat_controller_cooling_setpoint	75.11125649693757
0	eplus_control/controller_house_13_2_thermostat_controller_cooling_setpoint	75.81702206128945
0	eplus_control/controller_house_13_3_thermostat_controller_cooling_setpoint	75.50116540101975
0	eplus_control/controller_house_13_4_thermostat_controller_cooling_setpoint	75.37947553394936
0	eplus_control/controller_house_13_5_thermostat_controller_cooling_setpoint	74.44434541678298
0	eplus_control/controller_house_13_6_thermostat_controller_cooling_setpoint	74.2751291161695
0	eplus_control/controller_house_13_7_thermostat_controller_cooling_setpoint	74.81711467096794
0	eplus_control/controller_house_13_8_thermostat_controller_cooling_setpoint	75.99071926830575
0	eplus_control/controller_house_13_9_thermostat_controller_cooling_setpoint	75.14186274475864
0	eplus_control/controller_house_13_10_thermostat_controller_cooling_setpoint	75.6119776070988
0	eplus_control/controller_house_13_11_thermostat_controller_cooling_setpoint	74.42532571286505
0	eplus_control/controller_house_13_12_thermostat_controller_cooling_setpoint	75.71098055750069
0	eplus_control/controller_house_14_1_thermostat_controller_cooling_setpoint	74.45805232349899
0	eplus_control/controller_house_14_2_thermostat_controller_cooling_setpoint	75.07163760537188
0	eplus_control/controller_house_14_3_thermostat_controller_cooling_setpoint	74.76152362380246
0	eplus_control/controller_house_14_4_thermostat_controller_cooling_setpoint	75.46290214186779
0	eplus_control/controller_house_14_5_thermostat_controller_cooling_setpoint	74.51527719606702
0	eplus_control/controller_house_14_6_thermostat_controller_cooling_setpoint	75.01829690556653
0	eplus_control/controller_house_14_7_thermostat_controller_cooling_setpoint	74.28166954993858
0	eplus_control/controller_house_14_8_thermostat_controller_cooling_setpoint	74.35938966976069
0	eplus_control/controller_house_14_9_thermostat_controller_cooling_setpoint	74.23529427837363
0	eplus_control/controller_house_14_10_thermostat_controller_cooling_setpoint	74.05994102715663
0	eplus_control/controller_house_14_11_thermostat_controller_cooling_setpoint	75.8442892479735
0	eplus_control/controller_house_14_12_thermostat_controller_cooling_setpoint	74.98171382699798
0	eplus_control/controller_house_15_1_thermostat_controller_cooling_setpoint	74.82430590008775
0	eplus_control/controller_house_15_2_thermostat_controller_cooling_setpoint	75.39545536624546
0	eplus_control/controller_house_15_3_thermostat_controller_cooling_setpoint	75.65139708774255
0	eplus_control/controller_house_15_4_thermostat_controller_cooling_setpoint	74.55083722927768
0	eplus_control/controller_house_15_5_thermostat_controller_cooling_setpoint	74.14532009157965
0	eplus_control/controller_house_15_6_thermostat_controller_cooling_setpoint	75.34965210977192
0	eplus_control/controller_house_15_7_thermostat_controller_cooling_setpoint	74.93976450274897
0	eplus_control/controller_house_15_8_thermostat_controller_cooling_setpoint	75.07529725436105
0	eplus_control/controller_house_15_9_thermostat_controller_cooling_setpoint	75.54048745598082
