# file...... distribution_load.csv
# date...... Wed Jul 26 22:24:25 2017
# user...... hieutn
# host...... (null)
# target.... substation 52
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,distribution_load,positive_sequence_voltage
2004-07-01 14:25:00 CDT,+466015-71991.5j,+2401+0i
2004-07-01 14:30:00 CDT,+451756-75936.1j,+2401+0i
2004-07-01 14:35:00 CDT,+439326-79303.3j,+2401+0i
2004-07-01 14:40:00 CDT,+478068-68456.1j,+2401+0i
2004-07-01 14:45:00 CDT,+442799-78272.8j,+2401+0i
2004-07-01 14:50:00 CDT,+478818-68280.3j,+2401+0i
2004-07-01 14:55:00 CDT,+489588-65345j,+2401+0i
2004-07-01 15:00:00 CDT,+475469-107906j,+2401+0i
2004-07-01 15:05:00 CDT,+517120-96464.1j,+2401+0i
2004-07-01 15:10:00 CDT,+506665-99280.8j,+2401+0i
2004-07-01 15:15:00 CDT,+465843-110508j,+2401+0i
2004-07-01 15:20:00 CDT,+457951-112563j,+2401+0i
2004-07-01 15:25:00 CDT,+447732-115351j,+2401+0i
2004-07-01 15:30:00 CDT,+479802-106566j,+2401+0i
2004-07-01 15:35:00 CDT,+493051-103066j,+2401+0i
2004-07-01 15:40:00 CDT,+475090-107981j,+2401+0i
2004-07-01 15:45:00 CDT,+447798-115641j,+2401+0i
2004-07-01 15:50:00 CDT,+441384-117374j,+2401+0i
2004-07-01 15:55:00 CDT,+462360-111669j,+2401+0i
2004-07-01 16:00:00 CDT,+506615-277475j,+2401+0i
2004-07-01 16:05:00 CDT,+510861-276546j,+2401+0i
2004-07-01 16:10:00 CDT,+499870-279561j,+2401+0i
2004-07-01 16:15:00 CDT,+511240-276325j,+2401+0i
2004-07-01 16:20:00 CDT,+539380-268179j,+2401+0i
2004-07-01 16:25:00 CDT,+511574-276131j,+2401+0i
2004-07-01 16:30:00 CDT,+484389-283838j,+2401+0i
2004-07-01 16:35:00 CDT,+483343-284251j,+2401+0i
2004-07-01 16:40:00 CDT,+460139-290735j,+2401+0i
